保存日期:2026.7.13,标定数据版本号,D4AYA-SFB8-300-E0-170719
Time,ESPD_Value(rpm),Cy_judge_OK(),APP_Value(%),APP_Trq_Pct(%),Trq_Tgt_Pct(%),TPS_Tgt(%),TPS_Value(%),TIP_Tgt(kPa),TIP_Value(kPa),MAP_Value(kPa),WGV_PWM_DuCy(%),Air_Flow(kg/h),Fuel_Flow(kg/h),Fuel_In(mg/Inj),Lam_Tgt(),Lam_Value(),LamCL_Mult(%),LamAL_Mult(%),Inj_PW(ms),Spk_Adv(CAD),NGP_Value(kPa)
保存时间,发动机转速(rpm),判缸成功标志(),油门开度(%),油门扭矩百分比(%),最终扭矩百分比(%),节气门开度目标(%),节气门开度(%),增压压力目标(kPa),增压压力(kPa),进气歧管压力(kPa),废气旁通控制阀占空比(%),空气质量流量(kg/h),燃气质量流量(kg/h),一组喷嘴一次喷射质量(mg/Inj),过量空气系数目标(),过量空气系数(),空燃比闭环喷射量补偿(%),空燃比自适应喷射量补偿(%),燃气喷射脉宽(ms),点火提前角(CAD),喷嘴前燃气压力(kPa)
0.000s,846,1,0.0,0.00,0.00,18.90,18.93,57.85,93.48,46.32,90.6,44.100,2.124,19.99,1.209,1.226,0.1,0.3,4.785,13.94,539.7
0.053s,846,1,0.0,0.00,0.00,18.90,18.93,57.85,93.48,46.32,90.6,44.100,2.124,19.99,1.209,1.230,0.1,0.3,4.785,13.94,539.7
0.107s,846,1,0.0,0.00,0.00,18.90,18.93,57.85,93.48,46.32,90.6,44.100,2.124,19.99,1.209,1.230,0.1,0.3,4.771,13.32,539.7
0.161s,848,1,0.0,0.00,0.00,18.90,18.93,57.85,93.48,46.32,90.6,44.100,2.124,19.99,1.209,1.230,0.1,0.3,4.771,13.32,538.5
0.215s,848,1,0.0,0.00,0.00,18.90,18.93,57.85,93.48,46.32,90.6,44.100,2.124,19.99,1.209,1.230,0.1,0.3,4.771,13.32,538.5
0.269s,848,1,0.0,0.00,0.00,18.90,18.93,57.83,93.48,46.32,90.6,44.100,2.124,19.99,1.209,1.230,0.1,0.3,4.771,13.32,538.5
0.323s,848,1,0.0,0.00,0.00,18.90,18.93,57.83,93.48,45.87,90.6,45.792,2.016,19.99,1.209,1.230,0.1,0.3,4.771,13.32,538.5
0.377s,848,1,0.0,0.00,0.00,18.90,18.93,57.83,93.48,45.87,90.6,45.792,2.016,21.67,1.209,1.225,0.1,0.3,4.771,13.32,538.5
0.431s,848,1,0.0,0.00,0.00,18.90,18.93,57.83,93.48,45.87,90.6,45.792,2.016,21.67,1.209,1.225,0.2,0.3,4.673,13.32,538.5
0.485s,849,1,0.0,0.00,0.00,18.90,18.93,57.83,93.48,45.87,90.6,45.792,2.016,21.67,1.209,1.225,0.2,0.3,4.673,13.32,538.3
0.539s,849,1,0.0,0.00,0.00,18.90,18.93,57.83,93.48,45.87,90.6,45.792,2.016,21.67,1.209,1.225,0.2,0.3,4.673,13.32,538.3
0.593s,849,1,0.0,0.00,0.00,18.90,18.93,57.82,93.48,45.87,90.6,45.792,2.016,21.67,1.209,1.225,0.2,0.3,4.673,13.32,538.3
0.647s,849,1,0.0,0.00,0.00,18.90,18.93,57.82,93.48,45.87,90.6,44.964,2.016,21.67,1.209,1.225,0.2,0.3,4.673,13.32,538.3
0.701s,849,1,0.0,0.00,0.00,18.90,18.93,57.82,93.48,45.87,90.6,44.964,2.088,20.36,1.209,1.225,0.2,0.3,4.673,13.32,538.3
0.755s,849,1,0.0,0.00,0.00,18.90,18.93,57.82,93.48,45.87,90.6,44.964,2.088,20.36,1.209,1.220,0.2,0.3,4.856,13.32,538.3
0.809s,848,1,0.0,0.00,0.00,18.90,18.93,57.82,93.48,45.87,90.6,44.964,2.088,20.36,1.209,1.220,0.2,0.3,4.856,13.32,538.2
0.863s,848,1,0.0,0.00,0.00,18.90,18.93,57.82,93.48,45.87,90.6,44.964,2.088,20.36,1.209,1.220,0.2,0.3,4.856,13.32,538.2
0.917s,848,1,0.0,0.00,0.00,19.06,18.93,57.83,93.48,45.87,90.6,44.964,2.088,20.36,1.209,1.220,0.2,0.3,4.856,13.32,538.2
0.971s,848,1,0.0,0.00,0.00,19.06,18.93,57.83,93.48,45.87,90.6,44.964,2.088,20.36,1.209,1.220,0.2,0.3,4.856,13.32,538.2
1.025s,848,1,0.0,0.00,0.00,19.06,18.93,57.83,93.48,45.87,90.6,44.388,2.016,21.67,1.209,1.220,0.2,0.3,4.856,13.32,538.2
1.079s,848,1,0.0,0.00,0.00,19.06,18.93,57.83,93.48,45.87,90.6,44.388,2.016,21.67,1.209,1.219,0.2,0.3,4.856,13.32,538.2
1.133s,848,1,0.0,0.00,0.00,19.06,18.93,57.83,93.48,45.87,90.6,44.388,2.016,21.67,1.209,1.219,0.2,0.3,4.722,13.32,538.2
1.187s,848,1,0.0,0.00,0.00,19.06,18.93,57.83,93.48,45.87,90.6,44.388,2.016,21.67,1.209,1.219,0.2,0.3,4.722,13.32,538.2
1.241s,848,1,0.0,0.00,0.00,18.90,18.93,57.83,93.48,45.87,90.6,44.388,2.016,21.67,1.209,1.219,0.2,0.3,4.722,13.32,538.2
1.295s,848,1,0.0,0.00,0.00,18.90,18.93,57.83,93.48,45.87,90.6,44.388,2.016,21.67,1.209,1.219,0.2,0.3,4.722,13.32,538.2
1.349s,848,1,0.0,0.00,0.00,18.90,18.93,57.83,93.48,45.87,90.6,46.080,2.160,21.90,1.209,1.219,0.2,0.3,4.722,13.32,538.2
1.403s,848,1,0.0,0.00,0.00,18.90,18.93,57.83,93.48,45.87,90.6,46.080,2.160,21.90,1.209,1.224,0.2,0.3,4.722,13.32,538.2
1.457s,848,1,0.0,0.00,0.00,18.90,18.93,57.83,93.48,45.87,90.6,46.080,2.160,21.90,1.209,1.224,0.2,0.3,4.952,13.01,538.2
1.511s,849,1,0.0,0.00,0.00,18.90,18.93,57.83,93.48,45.87,90.6,46.080,2.160,21.90,1.209,1.224,0.2,0.3,4.952,13.01,538.2
1.565s,849,1,0.0,0.00,0.00,19.06,18.93,57.83,93.48,45.87,90.6,46.080,2.160,21.90,1.209,1.224,0.2,0.3,4.952,13.01,538.2
1.619s,849,1,0.0,0.00,0.00,19.06,18.93,57.82,93.48,45.58,90.6,46.080,2.160,21.90,1.209,1.224,0.2,0.3,4.952,13.01,538.2
1.673s,849,1,0.0,0.00,0.00,19.06,18.93,57.82,93.48,45.58,93.8,43.848,2.052,21.90,1.209,1.224,0.2,0.3,4.952,13.01,538.2
1.727s,849,1,0.0,0.00,0.00,19.06,18.93,57.82,93.48,45.58,93.8,43.848,2.052,21.09,1.210,1.226,0.2,0.3,4.952,13.01,538.2
1.781s,849,1,0.0,0.00,0.00,19.06,18.93,57.82,93.48,45.58,93.8,43.848,2.052,21.09,1.210,1.226,0.2,1.1,23.339,12.67,538.2
1.835s,852,1,0.0,0.00,0.00,19.06,18.93,57.82,93.48,45.58,93.8,43.848,2.052,21.09,1.210,1.226,0.2,1.1,23.339,12.67,538.2
1.889s,852,1,35.4,85.46,92.39,55.16,18.93,57.82,93.48,45.58,93.8,43.848,2.052,21.09,1.210,1.226,0.2,1.1,23.339,12.67,538.2
1.943s,852,1,35.4,85.46,92.39,55.16,55.97,122.66,93.05,45.58,93.8,43.848,2.052,21.09,1.210,1.226,0.2,1.1,23.339,12.67,538.2
1.997s,852,1,35.4,85.46,92.39,55.16,55.97,122.66,93.05,92.89,100.0,96.516,2.052,21.09,1.210,1.226,0.2,1.1,23.339,12.67,538.2
2.051s,852,1,35.4,85.46,92.39,55.16,55.97,122.66,93.05,92.89,100.0,96.516,4.860,50.94,1.173,1.282,0.2,1.1,23.339,12.67,538.2
2.105s,852,1,35.4,85.46,92.39,55.16,55.97,122.66,93.05,92.89,100.0,96.516,4.860,50.94,1.173,1.282,0.0,5.4,11.026,12.67,538.2
2.159s,921,1,35.4,85.46,92.39,55.16,55.97,122.66,93.05,92.89,100.0,96.516,4.860,50.94,1.173,1.282,0.0,5.4,11.026,13.24,513.7
2.213s,921,1,68.0,99.70,100.00,55.16,55.97,122.66,93.05,92.89,100.0,96.516,4.860,50.94,1.173,1.282,0.0,5.4,11.026,13.24,513.7
2.267s,921,1,68.0,99.70,100.00,56.96,57.01,131.86,93.05,92.89,100.0,96.516,4.860,50.94,1.173,1.282,0.0,5.4,11.026,13.24,513.7
2.321s,921,1,68.0,99.70,100.00,56.96,57.01,131.86,93.83,93.05,100.0,129.060,4.860,50.94,1.173,1.282,0.0,5.4,11.026,13.24,513.7
2.375s,921,1,68.0,99.70,100.00,56.96,57.01,131.86,93.83,93.05,100.0,129.060,6.192,49.73,1.191,1.282,0.0,5.4,11.026,13.24,513.7
2.429s,921,1,68.0,99.70,100.00,56.96,57.01,131.86,93.83,93.05,100.0,129.060,6.192,49.73,1.191,1.141,0.0,6.4,11.026,13.24,513.7
2.483s,1094,1,68.0,99.70,100.00,56.96,57.01,131.86,93.83,93.05,100.0,129.060,6.192,49.73,1.191,1.141,0.0,6.4,11.252,17.65,513.7
2.537s,1094,1,79.3,99.84,100.00,56.96,57.01,131.86,93.83,93.05,100.0,129.060,6.192,49.73,1.191,1.141,0.0,6.4,11.252,17.65,513.7
2.591s,1094,1,79.3,99.84,99.84,60.79,61.04,131.86,93.83,93.05,100.0,129.060,6.192,49.73,1.191,1.141,0.0,6.4,11.252,17.65,513.7
2.645s,1094,1,79.3,99.84,99.84,60.79,61.04,145.98,96.46,96.61,100.0,129.060,6.192,49.73,1.191,1.141,0.0,6.4,11.252,17.65,513.7
2.699s,1094,1,79.3,99.84,99.84,60.79,61.04,145.98,96.46,96.61,100.0,125.568,6.156,54.04,1.191,1.141,0.0,6.4,11.252,17.65,513.7
2.753s,1094,1,79.3,99.84,99.84,60.79,61.04,145.98,96.46,96.61,100.0,125.568,6.156,54.04,1.186,1.125,0.0,6.4,11.252,17.65,513.7
2.807s,1094,1,79.3,99.84,99.84,60.79,61.04,145.98,96.46,96.61,100.0,125.568,6.156,54.04,1.186,1.125,0.0,7.3,11.867,15.73,515.0
2.861s,982,1,85.6,99.84,99.84,60.79,61.04,145.98,96.46,96.61,100.0,125.568,6.156,54.04,1.186,1.125,0.0,7.3,11.867,15.73,515.0
2.915s,982,1,85.6,100.00,100.00,58.27,58.18,145.98,96.46,96.61,100.0,125.568,6.156,54.04,1.186,1.125,0.0,7.3,11.867,15.73,515.0
2.969s,982,1,85.6,100.00,100.00,58.27,58.18,134.09,99.87,100.22,100.0,125.568,6.156,54.04,1.186,1.125,0.0,7.3,11.867,15.73,515.0
3.023s,982,1,85.6,100.00,100.00,58.27,58.18,134.09,99.87,100.22,100.0,106.920,5.616,54.04,1.186,1.125,0.0,7.3,11.867,15.73,515.0
3.077s,982,1,85.6,100.00,100.00,58.27,58.18,134.09,99.87,100.22,100.0,106.920,5.616,54.01,1.140,1.142,0.0,7.3,11.867,15.73,515.0
3.131s,982,1,85.6,100.00,100.00,58.27,58.18,134.09,99.87,100.22,100.0,106.920,5.616,54.01,1.140,1.142,0.0,-0.1,11.934,12.98,515.0
